               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11291,            0.013401,            0.027142,           0.0022418,                0.66,           0.0023953,          0.00033749,            0.099146,            0.012385,            0.025715,              0.0973,              0.0003,              0.0003
                   1,             0.12083,            0.015245,            0.029491,           0.0028974,                0.86,           0.0041966,          0.00071474,            0.092084,            0.013803,            0.025596,            0.093699,          0.00069861,          0.00069861
                   2,             0.10985,            0.017231,            0.029628,           0.0033538,                   1,           0.0069767,           0.0014932,            0.083947,            0.014422,            0.026143,            0.090096,           0.0010956,           0.0010956
                   3,            0.097383,            0.023942,            0.029928,           0.0033474,                   1,           0.0095622,            0.002378,             0.07094,            0.015642,            0.027048,            0.086491,           0.0014911,           0.0014911
                   4,            0.090508,            0.025688,            0.028948,           0.0033402,                   1,             0.01011,           0.0026895,            0.066363,            0.015896,            0.026952,            0.082885,            0.001885,            0.001885
                   5,            0.082614,             0.02471,            0.029778,           0.0033352,                   1,            0.010016,           0.0028802,            0.059797,            0.016498,            0.025876,            0.079277,           0.0022772,           0.0022772
                   6,            0.078402,            0.027457,            0.028639,           0.0032663,                0.98,           0.0098366,           0.0029341,            0.054149,            0.016355,            0.024666,            0.075668,           0.0026679,           0.0026679
                   7,            0.068321,            0.028906,            0.027382,           0.0033341,                   1,            0.047391,            0.009708,            0.049712,              0.0162,            0.022362,            0.072057,            0.003057,            0.003057
                   8,            0.067853,            0.027757,             0.02653,             0.02663,                   1,             0.12643,            0.024289,            0.051499,            0.015554,             0.02126,            0.068445,           0.0034446,           0.0034446
                   9,             0.06786,            0.026633,            0.027051,             0.41848,                0.78,             0.47185,            0.084052,            0.061531,             0.01229,            0.021096,            0.064831,           0.0038305,           0.0038305
                  10,            0.067129,            0.025976,            0.026183,             0.18052,                0.96,             0.39119,            0.094769,            0.055138,            0.012178,            0.020994,            0.061215,           0.0042149,           0.0042149
                  11,            0.063917,            0.024485,            0.026433,             0.13479,                   1,             0.30951,             0.10757,            0.059598,            0.012007,            0.019836,            0.057598,           0.0045976,           0.0045976
                  12,             0.06119,            0.026393,            0.025467,             0.15185,                0.54,             0.32799,             0.12763,            0.058507,            0.011214,            0.019672,            0.053979,           0.0049788,           0.0049788
